Datetime,close
2024-08-01 00:00:00+00:00,64650.5859375
2024-08-01 01:00:00+00:00,64153.0234375
2024-08-01 02:00:00+00:00,64074.24609375
2024-08-01 03:00:00+00:00,63908.421875
2024-08-01 04:00:00+00:00,63705.19140625
2024-08-01 05:00:00+00:00,64296.25390625
2024-08-01 06:00:00+00:00,64226.39453125
2024-08-01 07:00:00+00:00,64300.62109375
2024-08-01 08:00:00+00:00,64479.0546875
2024-08-01 09:00:00+00:00,64450.421875
2024-08-01 10:00:00+00:00,64564.3203125
2024-08-01 11:00:00+00:00,64630.76953125
2024-08-01 12:00:00+00:00,64863.390625
2024-08-01 13:00:00+00:00,64725.56640625
2024-08-01 14:00:00+00:00,63975.05859375
2024-08-01 15:00:00+00:00,63003.41015625
2024-08-01 16:00:00+00:00,62868.734375
2024-08-01 17:00:00+00:00,63148.12890625
2024-08-01 18:00:00+00:00,62868.78125
2024-08-01 19:00:00+00:00,63345.38671875
2024-08-01 20:00:00+00:00,64605.1953125
2024-08-01 21:00:00+00:00,64848.1328125
2024-08-01 22:00:00+00:00,65142.09375
2024-08-01 23:00:00+00:00,65353.5
2024-08-02 00:00:00+00:00,64911.06640625
2024-08-02 01:00:00+00:00,64669.39453125
2024-08-02 02:00:00+00:00,64275.7890625
2024-08-02 03:00:00+00:00,64540.88671875
2024-08-02 04:00:00+00:00,64447.42578125
2024-08-02 05:00:00+00:00,64107.20703125
2024-08-02 06:00:00+00:00,64429.67578125
2024-08-02 07:00:00+00:00,64149.44140625
2024-08-02 08:00:00+00:00,64476.21875
2024-08-02 09:00:00+00:00,64460.08984375
2024-08-02 10:00:00+00:00,64686.7734375
2024-08-02 11:00:00+00:00,64606.53515625
2024-08-02 12:00:00+00:00,64750.390625
2024-08-02 13:00:00+00:00,65189.34375
2024-08-02 14:00:00+00:00,63206.56640625
2024-08-02 15:00:00+00:00,63560.1953125
2024-08-02 16:00:00+00:00,63275.60546875
2024-08-02 17:00:00+00:00,63049.6796875
2024-08-02 18:00:00+00:00,62853.4296875
2024-08-02 19:00:00+00:00,62631.4921875
2024-08-02 20:00:00+00:00,62585.78125
2024-08-02 21:00:00+00:00,62033.05859375
2024-08-02 22:00:00+00:00,61195.23046875
2024-08-02 23:00:00+00:00,61414.80859375
2024-08-03 00:00:00+00:00,61023.73046875
2024-08-03 01:00:00+00:00,61251.20703125
2024-08-03 02:00:00+00:00,61378.33203125
2024-08-03 03:00:00+00:00,61814.3359375
2024-08-03 04:00:00+00:00,61498.89453125
2024-08-03 05:00:00+00:00,61634.8046875
2024-08-03 06:00:00+00:00,61757.8359375
2024-08-03 07:00:00+00:00,61639.07421875
2024-08-03 08:00:00+00:00,61562.328125
2024-08-03 09:00:00+00:00,61682.59375
2024-08-03 10:00:00+00:00,61784.98046875
2024-08-03 11:00:00+00:00,61861.44921875
2024-08-03 12:00:00+00:00,61943.09375
2024-08-03 13:00:00+00:00,61951.609375
2024-08-03 14:00:00+00:00,61964.3984375
2024-08-03 15:00:00+00:00,60856.28125
2024-08-03 16:00:00+00:00,60906.3515625
2024-08-03 17:00:00+00:00,60479.65234375
2024-08-03 18:00:00+00:00,60212.77734375
2024-08-03 19:00:00+00:00,60235.23046875
2024-08-03 20:00:00+00:00,60313.79296875
2024-08-03 21:00:00+00:00,60616.49609375
2024-08-03 22:00:00+00:00,60601.18359375
2024-08-03 23:00:00+00:00,60676.09375
2024-08-04 00:00:00+00:00,60701.265625
2024-08-04 01:00:00+00:00,60709.37890625
2024-08-04 02:00:00+00:00,60828.3359375
2024-08-04 03:00:00+00:00,60704.04296875
2024-08-04 04:00:00+00:00,60522.94140625
